"Carimbo de data/hora","1. A hemorragia puerperal é uma complicação de alta incidência de mortalidade materna. Dentre suas causas, pode-se citar a:","2. Qual das alternativas abaixo representa a melhor ação a ser incorporada na rotina das maternidades, com intuito de se prevenir a hemorragia puerperal após um parto vaginal?","3. No que se refere ao manejo da hemorragia pós-parto, é correto afirmar:","4.  Em relação ao índice de choque (IC) na hemorragia pós-parto, pode-se afirmar:","5. No que se refere ao manejo medicamentoso da atonia uterina, pode-se afirmar:
","6. A droga rotineiramente administrada imediatamente no pós parto para controlar a atonia uterina e a hemorragia pós parto é a:","7. No que se refere à classificação de risco para hemorragia pós-parto, qual a melhor alternativa?","8. Em relação ao uso do traje antichoque não pneumático (TAN), pode-se afirmar","9.  Paciente pós-parto cesariana apresenta quadro de sangramento vaginal aumentado por hipotonia uterina. No momento está consciente, mas um pouco agitada, pálida e sudoréica. A pressão arterial está 90 a 60 mmHg e a frequência cardíaca 128 bpm. Qual das alternativas abaixo melhor representa o estado hemodinâmico da paciente?","10. São causas de hemorragias pós parto, exceto:","Profissão/Especialidade","Sugestões para os próximos treinamentos ?"
"2023/08/24 5:10:56 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro Obstetra",""
"2023/08/24 5:17:16 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Enfermeiro",""
"2023/08/24 5:17:38 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Enfermeiro",""
"2023/08/24 5:18:06 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Técnico de Enfermagem",""
"2023/08/24 5:19:07 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","b) Após um episódio de hemorragia pós-parto, a monitorizaçã o da paciente pode ser realizada na enfermaria à semelhança das pacientes de risco habitual","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Técnico de Enfermagem",""
"2023/08/24 5:22:01 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","b) Após um episódio de hemorragia pós-parto, a monitorizaçã o da paciente pode ser realizada na enfermaria à semelhança das pacientes de risco habitual","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Técnico de Enfermagem",""
"2023/08/24 5:22:02 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","b) Após um episódio de hemorragia pós-parto, a monitorizaçã o da paciente pode ser realizada na enfermaria à semelhança das pacientes de risco habitual","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Técnico de Enfermagem",""
"2023/08/24 5:23:08 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro",""
"2023/08/25 4:42:42 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","c)As gestantes de médio e alto riscos para hemorragia pós-parto devem ter acesso venoso no momento do parto com cateter intravenoso jelco 20","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro Obstetra",""
"2023/08/25 4:43:15 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","c)As gestantes de médio e alto riscos para hemorragia pós-parto devem ter acesso venoso no momento do parto com cateter intravenoso jelco 20","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro",""
"2023/08/25 4:55:01 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro",""
"2023/08/25 4:58:20 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","a) A metilergometrina é considerada uterotônico seguro nos casos de sangramento associados a distúrbios hipertensivos, como a pré-eclâmpsia","d) Ocitocina","b) Após um episódio de hemorragia pós-parto, a monitorizaçã o da paciente pode ser realizada na enfermaria à semelhança das pacientes de risco habitual","d) O TAN é o principal componente do tratamento definitivo da hemorragia pós-parto.","a) Choque hipovolêmico compensado.","c) Tecido","Técnico de Enfermagem",""
"2023/08/25 4:59:03 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro",""
"2023/08/25 5:07:49 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Técnico de Enfermagem","Curso de libras para profissionais da Obstetrícia "
"2023/08/25 5:10:17 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Técnico de Enfermagem",""
"2023/08/25 5:10:20 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Técnico de Enfermagem",""
"2023/08/25 5:10:28 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro Obstetra",""
"2023/08/25 5:10:56 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro",""
"2023/08/25 5:11:32 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","a) Atonia uterina","Técnico de Enfermagem",""
"2023/08/25 5:12:12 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro",""
"2023/08/25 5:16:33 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","c)As gestantes de médio e alto riscos para hemorragia pós-parto devem ter acesso venoso no momento do parto com cateter intravenoso jelco 20","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro Obstetra",""
"2023/08/25 5:23:24 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","c)O ácido tranexâmico não é droga útil na hemorragia pós-parto por laceração e seu uso estaria recomendado apenas após a falha do tratamento da atonia com ocitocina.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Técnico de Enfermagem",""
"2023/08/25 8:21:23 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Enfermeiro",""
"2023/08/25 8:38:06 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","b) Após um episódio de hemorragia pós-parto, a monitorizaçã o da paciente pode ser realizada na enfermaria à semelhança das pacientes de risco habitual","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Técnico de Enfermagem",""
"2023/08/25 8:40:44 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","a) Atonia uterina","Técnico de Enfermagem",""
"2023/08/25 8:46:58 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","c) O valor do IC ≤ 0,7 parece associar-se à necessidade de transfusão de hemocomponentes.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","a) Choque hipovolêmico compensado.","c) Tecido","Técnico de Enfermagem",""
"2023/08/25 9:23:51 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","c)As gestantes de médio e alto riscos para hemorragia pós-parto devem ter acesso venoso no momento do parto com cateter intravenoso jelco 20","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c)Choque hipovolêmico moderado","d) Via de parto","Técnico de Enfermagem",""
"2023/08/25 9:26:26 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","c)As gestantes de médio e alto riscos para hemorragia pós-parto devem ter acesso venoso no momento do parto com cateter intravenoso jelco 20","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Enfermeiro Obstetra",""
"2023/08/25 9:30:56 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","d) Via de parto","Técnico de Enfermagem",""